pk,domain,contributor,pdflink,citation
1,Many,Ger Reesink,http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1000241,"Reesink, Ger, Ruth Singer & Michael Dunn. (2009) Explaining the Linguistic Diversity of Sahul Using Population Models.  PLoS Biology 7(11). 1-9."
2,Many,Hedvig Skirgård,TODO,TODO
3,Gender Systems,Francesca di Garbo,http://su.diva-portal.org/smash/get/diva2:738318/FULLTEXT02.pdf,"Di Garbo, Francesca. (2014) Gender and its interaction with number and evaluative morphology: An intra- and intergenealogical typological survey of Africa. Stockholm University doctoral dissertation."
4,Bidyogo [bjg],Guillaume Segerer,,LLACAN
5,Kakabe [kke],Alexandra Vydrina,,LLACAN
6,Mann [mev],Maria Khachaturyan,,LLACAN
7,Mwan [moa],"Elena Perekhvalskaya,",,LLACAN
8,Wan [wan],Tatiana Nikitina,,LLACAN
9,Loma (Liberia) [lom],Daria Mishchenko,,LLACAN
10,Guro [goa],Olga Kuznetsova,,"St petersburg, Russian academy of Sciences"
11,Mandinka [mnk],Denis Creissels,,Uni Lyon
12,Northwest Gbaya [gya],Paulette Roulon-Doko,,LLACAN
13,Soninke [snk],Anna Marie Diagne,,Cheikh Diop Uni in Dakar
14,Tigon Mbembe [nza],Doris Richter,,Cologne/Radboud
15,"Gambian Wolof [wof], Wolof [wol]",​​​​Jean-Leopold Diouf,,Dakar
16,Yeyi [yey],Frank Seidel,,Florida
17,Pular [fuf],Viktoria Apel,,Humboldt-Berlin
18,"""khoisan""",Tom Güldemann,,Humboldt-Berlin
19,Kabyle [kab],Amina Mettouchi,,LLACAN
20,"Wolof [wol], Gambian Wolof [wof]",Stéphane Robert,,LLACAN
21,Emai-Iuleha-Ora [ema],Ronald Schaefer,,Southern Illinois University Edwardsville
22,Guinea Kpelle [gkp],Maria Konoshenko,,St. Petersburg State University
23,Selee [snw],Yvonne Agbetsoamedo,,Stockholms uni
24,,Doris Payne,,Univeristy of Oregon
25,Bandial [bqj],Serge Sagna,,University of Surrey
26,,Valentin Vydrin(e),,LLACAN
27,Beja [bej],Martine Vanhove,,LLACAN
28,Ewe [ewe],Felix Ameka,,Leiden
29,iraqw; mbugu,Maarten Mous,,Leiden
30,Tayart Tamajeq [thz],Maarten Kossmann,,Leiden
31,Avatime [avn],Saskia van Putten,,MPI NIjmegen
32,,Jasper de Kind,,Ghent
33,,Tom Güldemann,,Berlin-Humboldt
34,Avatime [avn],Rebecca Defina,,
35,Siwu [akp],Mark Dingemanse,,
36,Mbugwe [mgz],Vera Wilhemsen,,
