pk,jsondata,name,description,markup_description,id,type,lang
1,{},bvr,,,iso:bvr,iso639-3,en
2,{},bura1267,,,glottolog:bura1267,glottolog,en
3,{},roo,,,iso:roo,iso639-3,en
4,{},roto1249,,,glottolog:roto1249,glottolog,en
5,{},bvz,,,iso:bvz,iso639-3,en
6,{},bauz1241,,,glottolog:bauz1241,glottolog,en
7,{},mnv,,,iso:mnv,iso639-3,en
8,{},renn1242,,,glottolog:renn1242,glottolog,en
9,{},bva,,,iso:bva,iso639-3,en
10,{},bare1279,,,glottolog:bare1279,glottolog,en
11,{},mnk,,,iso:mnk,iso639-3,en
12,{},mand1436,,,glottolog:mand1436,glottolog,en
13,{},nzad1234,,,glottolog:nzad1234,glottolog,en
14,{},mnb,,,iso:mnb,iso639-3,en
15,{},muna1247,,,glottolog:muna1247,glottolog,en
16,{},gae,,,iso:gae,iso639-3,en
17,{},guar1293,,,glottolog:guar1293,glottolog,en
18,{},yvt,,,iso:yvt,iso639-3,en
19,{},yavi1244,,,glottolog:yavi1244,glottolog,en
20,{},mwp,,,iso:mwp,iso639-3,en
21,{},kala1377,,,glottolog:kala1377,glottolog,en
22,{},aue,,,iso:aue,iso639-3,en
23,{},kxau1241,,,glottolog:kxau1241,glottolog,en
24,{},wms,,,iso:wms,iso639-3,en
25,{},wamb1259,,,glottolog:wamb1259,glottolog,en
26,{},bqj,,,iso:bqj,iso639-3,en
27,{},band1340,,,glottolog:band1340,glottolog,en
28,{},dba,,,iso:dba,iso639-3,en
29,{},bang1363,,,glottolog:bang1363,glottolog,en
30,{},mwf,,,iso:mwf,iso639-3,en
31,{},murr1258,,,glottolog:murr1258,glottolog,en
32,{},wmb,,,iso:wmb,iso639-3,en
33,{},wamb1258,,,glottolog:wamb1258,glottolog,en
34,{},kcf,,,iso:kcf,iso639-3,en
35,{},ukaa1243,,,glottolog:ukaa1243,glottolog,en
36,{},mph,,,iso:mph,iso639-3,en
37,{},maun1240,,,glottolog:maun1240,glottolog,en
38,{},mpt,,,iso:mpt,iso639-3,en
39,{},mian1256,,,glottolog:mian1256,glottolog,en
40,{},guc,,,iso:guc,iso639-3,en
41,{},wayu1243,,,glottolog:wayu1243,glottolog,en
42,{},dim,,,iso:dim,iso639-3,en
43,{},dime1235,,,glottolog:dime1235,glottolog,en
44,{},apol1242,,,glottolog:apol1242,glottolog,en
45,{},wsk,,,iso:wsk,iso639-3,en
46,{},wask1241,,,glottolog:wask1241,glottolog,en
47,{},bxk,,,iso:bxk,iso639-3,en
48,{},buku1249,,,glottolog:buku1249,glottolog,en
49,{},gup,,,iso:gup,iso639-3,en
50,{},gunw1252,,,glottolog:gunw1252,glottolog,en
51,{},bxb,,,iso:bxb,iso639-3,en
52,{},bela1256,,,glottolog:bela1256,glottolog,en
53,{},trv,,,iso:trv,iso639-3,en
54,{},taro1264,,,glottolog:taro1264,glottolog,en
55,{},nbq,,,iso:nbq,iso639-3,en
56,{},ngge1241,,,glottolog:ngge1241,glottolog,en
57,{},pmb,,,iso:pmb,iso639-3,en
58,{},pamb1243,,,glottolog:pamb1243,glottolog,en
59,{},ter,,,iso:ter,iso639-3,en
60,{},tere1279,,,glottolog:tere1279,glottolog,en
61,{},tet,,,iso:tet,iso639-3,en
62,{},tetu1245,,,glottolog:tetu1245,glottolog,en
63,{},teu,,,iso:teu,iso639-3,en
64,{},sooo1256,,,glottolog:sooo1256,glottolog,en
65,{},sll,,,iso:sll,iso639-3,en
