pk,jsondata,polymorphic_type,id,name,description,markup_description,latitude,longitude
1,{},custom,bvr,Burarra,,,-12.3061,134.365
2,{},custom,roo,Rotokas,,,-5.94339,155.154
3,{},custom,bvz,Bauzi,,,-2.44717,137.629
4,{},custom,mnv,Rennell-Bellona,,,-11.6237,160.265
5,{},custom,bva,Barain,,,11.1168,18.0764
6,{},custom,mnk,Mandinka,,,12.8165,-15.6539
7,{},custom,NOCODE_Nzadi,Nzadi,,,-4.102208,20.194462
8,{},custom,mnb,Muna,,,-5.40419,122.541
9,{},custom,gae,Guarequena,,,1.80835,-66.9225
10,{},custom,yvt,Yavitero,,,9.8194,-67.4283
11,{},custom,mwp,Kala Lagaw Ya,,,-10.6748,142.196
12,{},custom,aue,=/Kx'au//'ein,,,-21.0554,21.1793
13,{},custom,wms,Wambon,,,-5.44334,140.48
14,{},custom,bqj,Banjal,,,12.5258,-16.4245
15,{},custom,rtm,Rotuman,,,-12.5008,177.066
16,{},custom,mwf,Murrinh-Patha,,,-14.7485,129.702
17,{},custom,wmb,Wambaya,,,-17.496,135.683
18,{},custom,kcf,Ukaan,,,7.59722,6.03933
19,{},custom,mph,Maung,,,-11.8393,133.185
20,{},custom,mpt,Mian,,,-4.70881,141.523
21,{},custom,guc,Wayuu,,,10.2252,-71.8101
22,{},custom,dim,Dime,,,6.20951,36.3329
23,{},custom,NOCODE_Apolista,Apolista,,,-14.83,-68.66
24,{},custom,wsk,Waskia,,,-4.57978,145.979
25,{},custom,bxk,Lubukusu,,,0.68043,34.7719
26,{},custom,gup,Gunwinggu,,,-12.3398,133.358
27,{},custom,bxb,Belanda Bor,,,6.6503,27.8232
28,{},custom,trv,Taroko,,,23.9032,121.358
29,{},custom,nbq,Nggem,,,-3.62735,139.011
30,{},custom,pmb,Pambia,,,3.739,26.61
31,{},custom,ter,Tereno,,,-20.6614,-56.0329
32,{},custom,tet,Tetum,,,-9.11217,125.528
33,{},custom,teu,So,,,2.58367,34.7595
34,{},custom,sll,Salt-Yui,,,-6.26519,145.021
35,{},custom,sue,Suena,,,-7.76339,147.534
36,{},custom,zrs,Mairasi,,,-3.4511,134.071
37,{},custom,sua,Sulka,,,-5.03471,151.891
38,{},custom,nee,Kumak,,,-20.4035,164.193
39,{},custom,uli,Ulithian,,,10.0,140.0
40,{},custom,abt,Ambulas,,,-3.7801,143.059
41,{},custom,ycn,Yucuna,,,-0.76075,-71.0033
42,{},custom,abz,Abui,,,-8.31058,124.588
43,{},custom,bdy,Bandjalang,,,-28.3458,152.859
44,{},custom,mee,Mengen,,,-5.47036,151.373
45,{},custom,mec,Mara,,,-14.7927,134.865
46,{},custom,men,Mende,,,7.90935,-10.9926
47,{},custom,mei,Midob,,,14.789,27.2236
48,{},custom,mej,Meyah,,,-1.18016,133.618
49,{},custom,mev,Mann,,,7.04616,-8.86405
50,{},custom,sjr,Siar-Lak,,,-4.62059,152.892
51,{},custom,akp,Siwu,,,7.23811,0.44362
52,{},custom,akj,Aka-Jeru,,,13.1525,92.9504
53,{},custom,bon,Bine,,,-9.08879,142.893
54,{},custom,tha,Thai,,,14.192,100.671
55,{},custom,aka,Akan,,,6.34756,-1.33254
56,{},custom,sgz,Sursurunga,,,-3.99078,152.768
57,{},custom,apu,Apurinã,,,-8.21692,-66.7714
58,{},custom,brm,Barambu,,,3.34642,26.861
59,{},custom,bwi,Baniwa,,,2.17859,-67.7704
60,{},custom,brg,Baure,,,-13.1278,-64.1838
61,{},custom,ape,Bukiyip,,,-3.47169,143.111
62,{},custom,jao,Yanyuwa,,,-15.7621,136.055
63,{},custom,kgq,Kamoro,,,-4.30433,135.883
64,{},custom,oon,Önge,,,10.6926,92.4707
65,{},custom,nkx,Nkoroo,,,4.57641,7.45802
66,{},custom,kgo,Krongo,,,10.514,30.003
67,{},custom,gqn,Guana (Brazil),,,-19.1667,-54.0333
68,{},custom,tnq,Taino,,,18.2836,-66.8042
69,{},custom,tnp,Whitesands,,,-19.5019,169.381
70,{},custom,ulk,Meriam,,,-9.59575,143.773
71,{},custom,erg,Sie,,,-18.8181,169.166
72,{},custom,cam,Cemuhî,,,-20.8489,165.13
73,{},custom,cab,Garifuna,,,15.3529,-86.9091
74,{},custom,gqu,Central Gelao-Qau,,,26.155438,106.16455
75,{},custom,erk,South Efate,,,-17.7006,168.377
76,{},custom,hhr,Keerak,,,12.3652,-16.6857
77,{},custom,kyo,Kelon,,,-8.40688,124.429
78,{},custom,sps,Saposa,,,-5.64103,154.732
79,{},custom,tae,Tariana,,,0.440205,-68.9042
80,{},custom,spl,Selepet,,,-6.03532,147.234
81,{},custom,ygr,Hua,,,-6.32432,145.388
82,{},custom,gcc,Mali,,,-4.71826,152.214
83,{},custom,siw,Siwai,,,-6.6429,155.452
84,{},custom,gcd,Ganggalida,,,-17.5446,139.426
85,{},custom,eng,English,,,53.0,-1.0
86,{},custom,sid,Sidaama,,,6.74176,38.3729
87,{},custom,sim,Mende (Papua New Guinea),,,-3.67233,142.683
88,{},custom,mas,Maasai,,,-3.1419,36.4573
89,{},custom,lao,Lao,,,16.0726,104.568
90,{},custom,laj,Lango,,,2.13867,33.0553
91,{},custom,bkc,Baka (Cameroon),,,2.16013,13.7804
92,{},custom,snk,Soninke,,,13.1273,-11.7178
93,{},custom,aoi,Anindilyakwa,,,-13.999,136.641
94,{},custom,snw,Selee,,,7.17462,0.42458
95,{},custom,mad,Madurese,,,-7.0,113.0
96,{},custom,NOCODE_Sisiqa,Sisiqa,,,-7.0,156.83
97,{},custom,tbi,Gaahmg,,,11.4674,33.9797
98,{},custom,rai,Ramoaaina,,,-4.17306,152.451
99,{},custom,kbk,Grass Koiari,,,-9.51218,147.437
100,{},custom,wuv,Wuvulu-Aua,,,-1.73938,142.851
101,{},custom,ffm,Maasina Fulfulde,,,11.1324,-3.64763
102,{},custom,uvl,Lote,,,-5.954,150.911
103,{},custom,ssd,Siroi,,,-5.52893,145.994
104,{},custom,kbv,Dera (Indonesia),,,-3.52309,140.947
105,{},custom,djr,Djambarrpuyngu,,,-12.021,135.59
106,{},custom,wrb,Warluwara,,,-22.2909,138.738
107,{},custom,byx,Qaqet,,,-4.45258,151.702
108,{},custom,wrk,Garawa,,,-17.4504,137.72014
109,{},custom,imn,Imonda,,,-3.31228,141.171
110,{},custom,fij,Fijian,,,-18.0,178.33
111,{},custom,pcc,Bouyei,,,24.8484,106.187
112,{},custom,ssb,Southern Sama,,,5.07546,119.38
113,{},custom,fin,Finnish,,,64.7628,25.5577
114,{},custom,oks,Oko,,,7.53908,6.15725
115,{},custom,ceb,Cebuano,,,8.38799,124.367
116,{},custom,dal,Dahalo,,,-2.1843,40.37
117,{},custom,rwo,Rawa,,,-5.83155,145.937
118,{},custom,mxm,Meramera,,,-4.97468,151.528
119,{},custom,kkk,Kokota,,,-8.16481,159.191
120,{},custom,not,Nomatsiguenga,,,-11.5349,-74.4371
121,{},custom,kpr,Korafe-Yegha,,,-9.07,149.267
122,{},custom,kpw,Kobon,,,-5.16446,144.46
123,{},custom,nfl,Ayiwo,,,-10.2302,166.21
124,{},custom,kpc,Curripaco,,,0.69618,-67.5028
125,{},custom,mdx,Dizin,,,6.1405,35.5763
126,{},custom,hla,Halia,,,-5.26603,154.662
127,{},custom,goa,Guro,,,7.34954,-6.31154
128,{},custom,smo,Samoan,,,-13.92,-171.83
129,{},custom,gox,Gobu,,,5.01201,20.0194
130,{},custom,rel,Rendille,,,2.27065,37.3608
131,{},custom,gow,Gorowa,,,-4.23575,35.7996
132,{},custom,blb,Bilua,,,-7.92388,156.663
133,{},custom,mmx,Madak,,,-3.34342,151.967
134,{},custom,sbc,Kele (Papua New Guinea),,,-2.09163,147.064
135,{},custom,mmh,Mehináku,,,-12.5364,-53.521
136,{},custom,mmd,Maonan,,,25.0169,108.024
137,{},custom,puw,Puluwatese,,,6.69748,149.31
138,{},custom,ata,Pele-Ata,,,-5.58045,151.05
139,{},custom,mva,Manam,,,-4.07921,145.033
140,{},custom,ish,Esan,,,6.25685,6.33917
141,{},custom,mkj,Mokilese,,,6.65651,159.776
142,{},custom,mak,Makasar,,,-5.65551,119.838
143,{},custom,iai,Iaai,,,-20.6301,166.59
144,{},custom,kol,Kol (Papua New Guinea),,,-5.21042,151.583
145,{},custom,kos,Kosraean,,,5.5,163.0
146,{},custom,tof,Gizrra,,,-9.183,142.804
147,{},custom,tod,Toma,,,8.20383,-9.23439
148,{},custom,gyg,Gbayi,,,5.57378,21.9707
149,{},custom,gyd,Kayardild,,,-17.0695,139.489
150,{},custom,gya,Northwest Gbaya,,,5.9503,15.2569
151,{},custom,udu,Uduk,,,9.16012,34.2293
152,{},custom,ncf,Notsi,,,-3.0557,151.661
153,{},custom,bej,Beja,,,17.2436,36.6666
154,{},custom,ktz,South-Eastern Ju,,,-19.688,20.7673
155,{},custom,beg,Lemeting,,,4.96207,114.933
156,{},custom,stk,Arammba,,,-8.29593,141.445
157,{},custom,bez,Bena (Tanzania),,,-9.26671,35.0364
158,{},custom,nza,Tigon Mbembe,,,6.98399,10.7085
159,{},custom,kto,Kuot,,,-3.06952,151.537
160,{},custom,nzk,Nzakara,,,4.79567,22.8254
161,{},custom,ktb,Kambaata,,,7.37582,37.9088
162,{},custom,ane,Xârâcùù,,,-21.7034,165.996
163,{},custom,lbz,Lardil,,,-16.5615,139.434
164,{},custom,ank,Goemai,,,8.74455,9.72453
165,{},custom,anu,Anywa,,,7.57714,34.0267
166,{},custom,rap,Rapanui,,,-27.113,-109.342
167,{},custom,sar,Saraveca,,,-11.9423,-65.3945
168,{},custom,bhw,Biak,,,-0.9523,135.879
169,{},custom,lic,Hlai,,,18.8062,109.459
170,{},custom,lin,Lingala,,,1.40324,19.7829
171,{},custom,hgm,ǂAkhoe Haiǁom,,,-19.7637,17.0299
172,{},custom,lip,Sekpele,,,7.16751,0.5886
173,{},custom,kab,Kabyle,,,36.4103,4.76137
174,{},custom,tya,Tauya,,,-5.74255,145.366
175,{},custom,bda,Bayot,,,12.6881,-16.3947
176,{},custom,mrz,Marind,,,-8.15651,140.009
177,{},custom,mrq,North Marquesan,,,-8.89412,-140.108
178,{},custom,mrn,Cheke Holo,,,-8.27055,159.625
179,{},custom,mri,Maori,,,-38.2881,176.541
180,{},custom,axk,Yaka (Central African Republic),,,3.6515,17.2713
181,{},custom,ury,Orya,,,-2.76483,139.89
182,{},custom,dbj,Ida'an,,,5.29059,118.515
183,{},custom,dba,Bangime,,,14.8116,-3.77092
184,{},custom,tkw,Teanu,,,-11.6752,166.868
185,{},custom,nld,Dutch,,,52.0,5.0
186,{},custom,nlg,Gela,,,-9.04587,160.186
187,{},custom,szp,Suabo,,,-2.07971,132.157
188,{},custom,ngb,Northern Ngbandi,,,3.56357,21.8525
189,{},custom,jav,Javanese,,,-0.572307,110.885
190,{},custom,bfn,Bunak,,,-9.13618,125.216
191,{},custom,bfm,Mmen,,,6.43213,10.2541
192,{},custom,ksd,Kuanua,,,-4.30986,152.114
193,{},custom,xmz,Mori Bawah,,,-2.56016,121.37
194,{},custom,ymk,Makwe,,,-10.4673,40.0274
195,{},custom,jae,Yabem,,,-6.67052,147.81
196,{},custom,ksi,Krisa,,,-2.80084,141.303
197,{},custom,geq,Geme,,,8.48359,20.6611
198,{},custom,sms,Skolt Sami,,,68.8326,29.7204
199,{},custom,kxa,Kairiru,,,-3.34608,143.558
200,{},custom,kxc,Konso,,,5.39111,37.53
201,{},custom,mgs,Manda-Matumba,,,-10.3991,34.7424
202,{},custom,tbo,Tawala,,,-10.3115,150.644
203,{},custom,NOCODE_Paunaca,Paunaca,,,-15.954991,-61.944581
204,{},custom,mgz,Mbugwe,,,-3.75763,35.8133
205,{},custom,tbc,Takia,,,-4.69057,145.975
206,{},custom,hil,Hiligaynon,,,10.4018,122.974
207,{},custom,gel,Ut-Main,,,11.5319,4.8387
208,{},custom,baw,Bambili-Bambui,,,6.10821,10.2233
209,{},custom,emi,Mussau-Emira,,,-1.44105,149.624
210,{},custom,crb,Island Carib,,,14.2906,-61.2395
211,{},custom,bae,Baré,,,1.91649,-66.828
212,{},custom,she,Sheko,,,7.05022,35.2826
213,{},custom,bam,Bambara,,,12.0401,-9.98949
214,{},custom,arw,Lokono,,,5.64295,-56.9243
215,{},custom,btx,Batak Karo,,,2.12787,98.2517
216,{},custom,aau,Abau,,,-3.97222,141.324
217,{},custom,wol,Wolof,,,15.2534,-15.383
218,{},custom,irk,Iraqw,,,-4.19948,35.2939
219,{},custom,lug,Ganda,,,0.66884,32.1515
220,{},custom,tuv,Turkana,,,4.30688,35.7101
221,{},custom,tuk,Turkmen,,,37.0872,59.1757
222,{},custom,kew,West Kewa,,,-6.32097,143.73
223,{},custom,kjd,Southern Kiwai,,,-8.64889,143.244
224,{},custom,ilo,Iloko,,,15.9361,120.993
225,{},custom,tlb,Tobelo,,,1.0946,128.154
226,{},custom,tlf,Telefol,,,-5.07444,141.731
227,{},custom,ung,Ngarinyin,,,-16.4006,126.433
228,{},custom,unk,Enawené-Nawé,,,-12.4302,-58.9802
229,{},custom,eto,Eton,,,4.21045,11.3935
230,{},custom,had,Hatam,,,-1.13531,134.037
231,{},custom,tgc,Tigak,,,-2.70951,150.893
232,{},custom,tgo,Sudest,,,-11.5229,153.488
233,{},custom,tgl,Tagalog,,,14.06,121.747
234,{},custom,bbn,Uneapa,,,-4.89383,149.141
235,{},custom,duc,Duna,,,-5.41439,142.475
236,{},custom,swe,Swedish,,,59.800634,17.389526
237,{},custom,yap,Yapese,,,9.55811,138.125
238,{},custom,bbp,West Central Banda,,,6.81435,24.1012
