pk,comment,example,contributed_datapoint
1,There are no nasal phonemes,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
2,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
3,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
4,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
5,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
6,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
7,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
8,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
9,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
10,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
11,KM: A sequence of n + ng yields a phonetic ̱.,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
12,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
13,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
14,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
15,Note that phonetic uvular nasal occurs in the prenasalised uvular stop 'ngq',,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
16,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
17,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
18,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
19,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
20,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
21,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
22,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
23,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
24,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
25,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
26,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
27,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
28,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
29,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
30,this doesn't include a palatalised nasal that occurs in the environment of a high front vowel but i,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
31,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
32,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
33,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
34,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
35,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
36,"Excluding the glottal stop, for which a corresponding nasal is not possible (p.78).",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
37,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
38,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
39,p.37,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
40,No lamino-dental nasal.,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
41,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
42,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
43,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
44,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
45,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
46,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
47,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
48,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
49,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
50,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
51,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
52,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
53,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
54,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
55,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
56,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
57,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
58,"no dental nasal - or is that an impossible sound? RB:correct, but not because phonetically impossible",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
59,"the difference is the glottal stop that does not have a nasal counterpart. Note that there is no voiceless palatal stop so that there are 4 places of articulation for voiceless stops and 4 for voiced stops, but these are not the same.",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
60,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
61,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
62,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
63,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
64,Lynch: 765,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
65,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
66,AF: Y,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
67,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
68,Dixon: 13,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
69,Thieberger 2006: 46,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
70,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
71,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
72,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
73,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
74,GR,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
75,Crowley:7,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
76,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
77,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
78,No velar nasal.,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
79,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
80,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
81,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
82,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
83,Lynch: 776,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
84,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
85,LRC: 815,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
86,LRC: 865,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
87,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
88,no velar nasal,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
89,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
90,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
91,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
92,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
93,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
94,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
95,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
96,Brownie: 13,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
97,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
98,VB: 8-9,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
99,LRC: 440,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
100,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
101,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
102,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
103,LRC: 410,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
104,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
105,[pp7-8],,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
106,LRC: 456.,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
107,"However they do not match: the affricate has a corresponding nasal, but the back velar stop does not. LRC: 204",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
108,LRC: 387,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
109,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
110,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
111,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
112,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
113,3,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
114,no uvular nasal,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
115,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
116,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
117,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
118,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
119,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
120,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
121,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
122,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
123,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
124,No palatal nasal,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
125,No dental-retroflex distinction in nasals,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
126,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
127,p.12,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
128,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
129,p.195,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
130,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
131,p.17,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
132,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
133,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
134,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
135,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
136,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
137,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
138,(Breen in press),,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
139,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
140,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
141,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
